,label,image path
0,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0846_1941318837b7df97.png
1,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0856_2afaef56b0de1efc.png
2,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0859_b343cba1c56c54e2.png
3,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0859_ce5f9f4497f04671.png
4,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0863_7ae263ee9921cbce.png
5,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0863_930dc561fcacd0a6.png
6,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0867_d5e3bb163d79f816.png
7,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0871_6c58949c7afbd3d7.png
8,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0873_fd0bc4492f1666ea.png
9,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0889_ef845786c66ee476.png
10,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0903_a3692eef4a9c8dbe.png
11,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0912_7070cc25c95e1d82.png
12,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0912_f9c91f34ed2863d1.png
13,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0923_bac3abddab317a7f.png
14,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0927_6cdd251597562319.png
15,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0933_44791db5f99243a2.png
16,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0940_508281133d3377c1.png
17,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0947_1bf76d8d1ee2a8ca.png
18,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0953_1cd8bea9f35f5760.png
19,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0955_6e4e798a4dfdb981.png
20,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0956_43e6b1e85afa361a.png
21,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0968_f7e9b0a8748292cc.png
22,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0977_4bb667d215baacb8.png
23,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0983_341138cb292899c2.png
24,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_0987_d5e9b3671595bfd6.png
25,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_1005_c2dec6c8b65137f6.png
26,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_1013_62d6618ce1b7745c.png
27,unknown,/workspace/COMP3608-Project/WildlifeReID-10k/AAUZebraFish/Vid2_1033_31ea41a23a2e5f83.png
