,label,image_path,image path
0,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/003b89301c7b9f6d18f722082617f65f6d5986c9032b660cc02a0735d5bdd0f7.jpg,
1,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/004d500301a70ec9b5ba08de8ccc6703f08150721af1126e17607ac9218f043b.jpg,
2,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/00d97c67f0cb0d13a3a449fc4c0ad7d593928d20dbf27b0502fd0f239a3f8548.jpg,
3,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/00dcbabf03826937bcf6a0a5bedd990ccf716f704f647d454e1b2ab6915334f7.jpg,
4,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/011d81e0402d1be66bccab7d77796f080368f8c621ded67554a8294543e84183.jpg,
5,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/0144aa5671e1c06afcafb5fd87788799721ff5954d3c69fa248b2ff034fdeeea.jpg,
6,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/01bae849a04b09a0653c72c3809aaffebda3d999f6a5c6ba03201ef0ae3a0152.jpg,
7,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/021516ab05994fe8bb0dc4ae444b8ab9a0c7f323a08be6a579064819cd1bc108.jpg,
8,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/0241e8a63229f81c457fc7ad5156eb69d26414761ca4a6ae953e351f039a5435.jpg,
9,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/02e61d94aba097c4ded3db43e2115cb639ba2c8660df6232a5a513434cb14d5a.jpg,
10,lynx,/workspace/COMP3608-Project/animal-clef-2025/images/LynxID2025/query/02f35945534b917426a39e8794291f6bf039034638168fb96863607e1ef0c17a.jpg,
