,label,image_path
0,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/001d1d5d2a6d557d_1.jpg
1,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0064e6c7f9c6e648_5.jpg
2,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/00cf2970bd624907_10.jpg
3,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0199af7d17586fa8_16.jpg
4,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0216d0658ff0becd_17.jpg
5,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/023b4d4fc2d50ca2_18.jpg
6,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/023d57ba444d3141_19.jpg
7,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/031813484010f3d9_23.jpg
8,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0320f894b34f9017_24.jpg
9,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/03f344664a77608e_28.jpg
10,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0419c4c77fd65b34_29.jpg
11,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/046b22a935a42ef8_32.jpg
12,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/047dbf07ca654331_34.jpg
13,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/04cccb637a27d314_36.jpg
14,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/051bf87de46a5fd5_39.jpg
15,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/05acf34021f9a818_43.jpg
16,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/060379027c4f83cb_44.jpg
17,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/064e787bbb004a70_46.jpg
18,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/06b63b9634b38f56_49.jpg
19,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/06e971b244fafa47_51.jpg
20,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0737a5a022dc4a70_52.jpg
21,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/074fa1ae7d0ea215_53.jpg
22,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0756a01fb87c0af7_54.jpg
23,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0785138193315a6b_55.jpg
24,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/07910c22b2a7de3c_57.jpg
25,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/080fb313aef135c6_63.jpg
26,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/081daec2bb11cbd3_65.jpg
27,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/099a7205304de940_76.jpg
28,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0a07d3eae89de168_79.jpg
29,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0a7224540f9d3ef4_82.jpg
30,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0b1295e87bb038a2_86.jpg
31,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0bb39402dc232a7f_94.jpg
32,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0bb7bedeb8123132_95.jpg
33,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0bbea571783acdf9_96.jpg
34,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0ca1b405a8494159_106.jpg
35,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0ccaa0a1cf513147_107.jpg
36,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0d040cfabc137edb_109.jpg
37,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0e49901f8114fbd9_119.jpg
38,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0ebda4399672961a_123.jpg
39,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0ec2329e72b7a791_125.jpg
40,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0f2c613be374ea79_129.jpg
41,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0f85b9db1817fe17_131.jpg
42,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0fa09833c82d5a51_134.jpg
43,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0fac958f6b66de3b_135.jpg
44,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/0fe34f0d67c213e4_138.jpg
45,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/10a38e7efebf779c_142.jpg
46,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/10c4e2d7736f9dbd_144.jpg
47,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/10eb349055dc8ca3_148.jpg
48,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/11737f2be4a0096e_152.jpg
49,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/11b53dcf3c70b292_154.jpg
50,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/11e011bc76204f7f_155.jpg
51,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/11e1ea156e180893_156.jpg
52,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/1253d0a7ba464781_158.jpg
53,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/12749e701de29c60_160.jpg
54,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/127b4cdcb9502ffa_161.jpg
55,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/12b67aa240b2a398_163.jpg
56,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/130b4ba496da7b6e_166.jpg
57,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/137bb39ad82b7d20_168.jpg
58,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/13cc953daa43cf08_170.jpg
59,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/141250e77e43ffc8_171.jpg
60,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/1481d71722a15d7c_175.jpg
61,salamander,/workspace/COMP3608-Project/animal-clef-2025/images/SalamanderID2025/query/images/14fc96fc8792b11a_177.jpg
